filename,part_type,claimed_label,vlm_classification,vlm_confidence
3.jpg,air_filter,fake,GENUINE,0.85
28.jpg,air_filter,fake,GENUINE,0.85
2.jpg,spark_plug,fake,GENUINE,0.85
13.jpg,spark_plug,fake,GENUINE,0.85
10.jpg,helmet,fake,GENUINE,0.8
29.jpg,spark_plug,fake,GENUINE,0.85
16.jpg,spark_plug,fake,GENUINE,0.85
33.jpg,air_filter,fake,GENUINE,0.85
57.jpg,spark_plug,fake,GENUINE,0.85
6.jpg,spark_plug,fake,GENUINE,0.85
19.jpg,spark_plug,fake,GENUINE,0.85
38.jpg,spark_plug,fake,GENUINE,0.8
45.jpg,spark_plug,fake,GENUINE,0.85
65.jpg,helmet,fake,GENUINE,0.85
32.jpg,spark_plug,fake,GENUINE,0.85
82.jpg,helmet,fake,GENUINE,0.85
55.jpg,spark_plug,fake,GENUINE,0.85
66.jpg,spark_plug,fake,GENUINE,0.8
67.jpg,helmet,fake,GENUINE,0.85
23.jpg,air_filter,fake,GENUINE,0.85
11.jpg,helmet,fake,GENUINE,0.8
12.jpg,air_filter,fake,GENUINE,0.85
80.jpg,helmet,fake,GENUINE,0.8
49.jpg,spark_plug,fake,GENUINE,0.85
1.jpg,spark_plug,fake,GENUINE,0.8
14.jpg,spark_plug,fake,GENUINE,0.85
62.jpg,spark_plug,fake,GENUINE,0.85
2.jpg,air_filter,fake,GENUINE,0.85
4.jpg,spark_plug,fake,GENUINE,0.85
14.jpg,air_filter,fake,GENUINE,0.8
3.jpg,spark_plug,fake,GENUINE,0.85
66.jpg,helmet,fake,GENUINE,0.8
15.jpg,air_filter,fake,GENUINE,0.85
21.jpg,spark_plug,fake,GENUINE,0.85
24.jpg,spark_plug,fake,GENUINE,0.85
59.jpg,spark_plug,fake,GENUINE,0.85
20.jpg,spark_plug,fake,GENUINE,0.85
